,prot_2_882,prot_2_847,prot_2_957,prot_2_1005,prot_2_172,prot_2_434,prot_2_592,prot_1_173,prot_2_59,prot_1_340,prot_1_352,prot_2_1013,prot_2_583,prot_1_56,prot_2_483,prot_2_861,wind_882,prot_1_829,wind_792,prot_1_561,prot_1_291,prot_1_815,prot_2_951,prot_2_114,prot_2_901,prot_2_107,wind_596,wind_532,prot_2_44,prot_1_374,prot_2_372,prot_2_471,prot_2_319,wind_564,prot_2_996,wind_961,wind_613,prot_2_573,wind_978,prot_2_193,prot_1_651,prot_1_547,prot_1_501,prot_2_803,wind_495,wind_55,wind_659,prot_1_466,prot_2_6,wind_420,wind_836,wind_865,wind_703,wind_850,wind_922,prot_1_453,wind_878,prot_2_876,prot_1_887,wind_580,wind_793,prot_1_253,prot_2_249,prot_2_739,prot_1_338,wind_393,wind_550,wind_778,wind_220,prot_1_895,prot_2_810,prot_1_559,Is_int,PTM,Effect
0,-0.04408817,-0.014843709,-0.026824366,-0.037945155,0.06368468,-0.018894114,-0.024464794,0.08388126,0.009411785,-0.080031976,-0.051670745,0.010487187,-0.008636324,-0.031906962,-0.08840104,0.0016290633,-0.07569647,-0.02756589,-0.14641923,-0.019461403,0.024156764,0.004700251,-0.02554599,-0.04183273,0.056549463,0.015360038,0.10863046,0.078252286,-0.033646483,-0.047416337,-0.0012577062,-0.024894783,0.031389304,0.00586411,0.0074265315,0.07425507,0.10700781,0.0037702967,-0.19702081,0.04144709,-0.02316924,-0.06020231,-0.033477418,-0.008169126,0.010716238,-0.073861405,-0.056531932,0.043630347,-0.037382025,-0.06544232,-0.015852489,-0.058698654,0.029559053,0.002896489,0.011116207,0.003783539,-0.107728906,0.03557808,0.0062925643,0.17444862,0.20237309,0.009974121,-0.03089317,0.049576342,-0.027328879,-0.032258663,-0.064111695,0.0077096582,0.088914774,0.001103307,0.04924607,-0.008288635,0,3,1
1,-0.027851444,-0.022764219,0.08834913,-0.007739654,0.05272093,-0.027554289,0.023844972,0.034084223,0.0117959045,0.009958505,-0.069480754,-0.013981896,-0.0050286497,-0.023614539,0.01866693,0.02055248,-0.02558766,0.002403721,-0.12064562,-0.0066069085,0.054076873,-0.050639793,-0.0029602502,0.002292244,0.039023153,-0.03304031,0.043282878,0.11030059,0.0069690845,-0.04894446,-0.03286165,0.004627956,-0.009043664,-0.00011347979,-0.038402166,0.0880955,0.047274087,-0.02471356,-0.06062923,0.005387566,-0.024169182,0.003170236,-0.007454552,0.035529904,0.008266947,0.04371287,0.09322195,0.058357056,-0.020209685,-0.025417399,-0.09171503,-0.01954669,0.059347443,-0.0015836594,-0.012478236,0.038384434,0.05373869,0.021685764,-0.005961101,-0.003948757,-0.06600423,-0.011415736,-0.0022091046,0.011799818,-0.020461963,0.0035334884,0.007703948,-0.043788437,-0.041676316,0.02583183,-0.0016568741,-0.01283169,0,3,0
2,-0.026425717,0.00607302,0.0032307026,0.0031599523,0.0075588007,-0.021259269,0.04014094,0.049814694,0.05606803,-0.014822388,-0.05186577,-0.011131815,-0.057410646,-0.030325657,-0.037688065,0.019872148,-0.11157638,-0.030938055,-0.09401258,-0.0023775192,0.058325663,-0.031844538,0.014426446,0.031166647,0.039516874,0.02256574,-0.039350852,0.04195392,-0.023406008,-0.07011318,-0.028165214,0.0047489265,0.018878471,-0.11508104,-0.042697284,0.11270871,0.0634346,0.020548845,0.013815886,0.07507812,-0.029621083,0.013349906,0.00026256533,0.0133670885,0.061970796,0.0013471938,-0.052361038,0.034546327,-0.033046257,0.093423784,0.09986346,-0.12684728,-0.080587566,0.13247088,-0.024288278,0.01680361,0.12008505,0.0015302896,0.0005684245,0.118071556,0.01350796,-0.0357655,-0.03558427,-0.0010035944,-0.03135895,-0.09635393,-0.10091339,0.051781148,0.11922102,0.033717524,0.024165504,-0.023202006,1,3,1
3,-0.013972091,0.0052287467,0.018548302,0.016153062,0.06745367,0.0049555623,0.056644574,0.049814694,0.026242575,-0.014822388,-0.05186577,-0.01388502,0.047902342,-0.030325657,-0.023618096,-0.033781752,-0.11157638,-0.030938055,-0.09401258,-0.0023775192,0.058325663,-0.031844538,-0.044318248,0.07497165,0.025647298,0.009006853,-0.039350852,0.04195392,-0.0102982735,-0.07011318,-0.006456511,0.006332889,0.010063671,-0.11508104,0.020366218,0.11270871,0.0634346,-0.023462728,0.013815886,0.11672049,-0.029621083,0.013349906,0.00026256533,0.031266436,0.061970796,0.0013471938,-0.052361038,0.034546327,-0.011432378,0.093423784,0.09986346,-0.12684728,-0.080587566,0.13247088,-0.024288278,0.01680361,0.12008505,0.018212695,0.0005684245,0.118071556,0.01350796,-0.0357655,-0.024127379,0.06036881,-0.03135895,-0.09635393,-0.10091339,0.051781148,0.11922102,0.033717524,-0.036306392,-0.023202006,1,3,1
4,-0.05388346,-0.021151463,0.058516957,-0.013401978,0.0063564135,-0.042911913,0.0033162772,0.035719402,0.04003637,-0.017798949,-0.067237265,-0.013033528,-0.00599233,-0.01642501,-0.08768911,0.04223645,-0.05347408,-0.005159924,-0.07746615,-0.0032544595,0.048068542,-0.019592281,-0.01052949,-0.02866324,0.09091671,-0.04580768,0.0012684234,0.061039437,-0.002222596,-0.05689101,-0.029708154,0.01513629,-0.02457347,-0.036585905,0.026212951,0.09134131,-0.00015767218,-0.04804666,0.042089168,0.0059611863,-0.015912862,0.012654346,0.012039311,0.023434047,0.053795524,-0.05759297,-0.061279196,0.039165337,-0.11742483,-0.019233571,0.0012820392,0.07764551,0.12077001,0.0751252,0.0148717435,0.028227711,-0.022146007,-0.014638137,0.0007423797,-8.421511e-05,0.008959528,-0.0028486983,-0.0047031892,0.03198853,-0.015532122,-0.058126364,-0.053443864,0.024531227,0.033799697,0.01591727,0.07437283,-0.009792539,0,3,0
5,-0.049987286,0.0103337765,0.05201444,-0.012647519,0.044546567,-0.031026866,0.072196186,0.11493475,0.020342601,-0.05949383,-0.021499513,-0.017367808,0.020953817,-0.02890501,-0.022714242,0.049179643,0.035894845,0.008605029,-0.07496571,0.0068011554,0.032498088,0.03568156,0.010435971,0.03882334,0.052314583,-0.0037131107,-0.20152493,-0.03517268,-0.009818377,-0.013801279,-0.010843676,0.0031787115,0.021512793,0.042809874,-0.03954262,0.10251087,-0.083237514,-0.017227452,0.073333696,0.017422028,0.023981556,-0.029457666,-0.020734897,0.013273336,-0.08134354,0.07227744,-0.13490759,0.0060060443,-0.048393708,-0.017161194,0.15582894,0.02435572,0.045406528,0.039395142,-0.14539371,0.01766071,0.07365935,-0.0058193267,0.037200857,-0.020547617,0.10808189,-0.005914553,0.031946532,0.06207184,0.0036834974,-0.06450982,-0.06705352,-0.062894575,0.013138333,-0.034948498,-0.03684695,0.0077065174,0,3,0
6,-0.049987286,0.0103337765,0.05201444,-0.012647519,0.044546567,-0.031026866,0.072196186,0.11493475,0.020342601,-0.05949383,-0.021499513,-0.017367808,0.020953817,-0.02890501,-0.022714242,0.049179643,0.019203544,0.008605029,-0.08125308,0.0068011554,0.032498088,0.03568156,0.010435971,0.03882334,0.052314583,-0.0037131107,-0.2016648,-0.032584213,-0.009818377,-0.013801279,-0.010843676,0.0031787115,0.021512793,0.04817731,-0.03954262,0.10695419,-0.08750665,-0.017227452,0.06687115,0.017422028,0.023981556,-0.029457666,-0.020734897,0.013273336,-0.06439674,0.10565372,-0.1341404,0.0060060443,-0.048393708,-0.029333165,0.15205787,0.025903847,0.040278092,0.022312365,-0.14598082,0.01766071,0.077443376,-0.0058193267,0.037200857,-0.027642537,0.1239741,-0.005914553,0.031946532,0.06207184,0.0036834974,-0.06287027,-0.075993985,-0.07115872,0.02351932,-0.034948498,-0.03684695,0.0077065174,0,3,0
7,-0.042066347,-0.02111281,0.07094745,-0.020191416,0.034754746,-0.026975261,0.05846563,0.10970483,0.031247115,-0.06643369,-0.057237234,-0.0050637824,0.00018845493,-0.04910355,0.012735919,-0.006051212,0.014843307,-0.009127684,0.06512948,0.014920048,0.043167874,0.03552114,-0.013359307,0.0045035738,0.033763662,-0.004728058,-0.1967849,0.07004708,-0.0042707906,-0.002307749,0.008163582,0.030425852,-0.04000407,0.11254843,-0.063372865,0.031052556,-0.069509655,-0.022072954,0.06380392,0.032282412,-0.0010612411,-0.016437326,-0.024227694,0.016185962,0.09811367,0.00063434965,-0.16260475,0.00453402,-0.027910216,0.16712497,0.16136856,0.016099468,0.0075628366,0.07834725,0.06136094,0.062125232,-0.00048319442,0.01408633,0.026016809,-0.03203037,-0.014046895,-0.015469197,-0.042416956,0.053381585,0.012269941,-0.09503967,0.13793732,-0.019928098,-0.024224155,0.0011734095,-0.008831358,0.0005033978,0,3,0
8,-0.049987286,0.0103337765,0.05201444,-0.012647519,0.044546567,-0.031026866,0.072196186,0.059648003,0.020342601,-0.020853985,-0.05786045,-0.017367808,0.020953817,-0.025513643,-0.022714242,0.049179643,-0.03370906,0.021535283,-0.017742435,-0.025616698,0.054352537,-0.025066365,0.010435971,0.03882334,0.052314583,-0.0037131107,-0.2055175,0.13940006,-0.009818377,-0.047277547,-0.010843676,0.0031787115,0.021512793,0.121277,-0.03954262,-0.09485926,-0.042129155,-0.017227452,-0.12407323,0.017422028,-0.0067341737,-0.0173441,-0.0046404484,0.013273336,-0.009740446,-0.061445236,0.0341783,0.013809729,-0.048393708,0.008607882,0.110777885,0.07897422,0.10080626,-0.021575363,0.0137422215,-0.034193717,-0.08423291,-0.0058193267,0.03397065,0.03490628,0.029591186,0.053437777,0.031946532,0.06207184,0.00611494,-0.24047658,-0.019424515,-0.08294083,0.024540132,-0.019888323,-0.03684695,0.0018203493,0,3,0
9,-0.025814625,-0.0007455835,0.06086037,-0.027929148,0.011999768,0.006159857,0.004000509,0.06395353,0.015622544,-0.057815123,-0.06647044,-0.006204015,0.0072339633,-0.022641873,-0.021696493,0.013492752,0.01938722,-0.020568062,0.11378606,-0.029074613,0.037186034,-0.009965131,-0.037021473,0.068309724,-0.005387977,-0.000107590604,-0.0075426833,0.05600512,-0.02938016,-0.030317387,-0.032998666,-0.01826233,0.023007944,0.07048213,0.007798216,-0.0034977214,-0.0073270462,-0.02335688,-0.08491621,0.04109459,0.004722243,0.022653729,-0.018693166,0.0495669,-0.00029630814,0.15791024,-0.07763354,0.009543388,-0.0124606,-0.03991178,-0.05259505,0.052456297,-0.004450308,0.103782356,-0.048744354,-0.0007650693,-0.10960381,-0.039882805,0.0142895905,0.11954813,-0.011330581,-0.013403057,-0.039802454,0.009133041,-0.015748352,0.013084408,-0.046924606,0.029801115,-0.09340493,0.01045507,-0.01010435,-0.0050523556,0,3,0
